algorithm,data_type,structure,size,mean_time,std_dev,min_time,max_time,pivot_strategy
Bubble Sort,integer,random,1000,0.06690434999763965,0.002998098601379436,0.0616230409941636,0.0688363749650307,
Bubble Sort,integer,sorted,1000,6.279160734266043e-05,4.3276721208575e-06,6.020802538841963e-05,7.050001295283437e-05,
Insertion Sort,integer,random,1000,0.024492324981838464,0.0014576739312214624,0.022774374985601753,0.02648441697238013,
Insertion Sort,integer,sorted,1000,0.00012922539608553051,5.546754541286649e-06,0.00012420897837728262,0.00013620901154354215,
Selection Sort,integer,random,1000,0.02488314158981666,0.00137593598793821,0.02328054199460894,0.026855249947402626,
Merge Sort,integer,random,1000,0.0027317916159518064,0.00031967634850977515,0.0023778750328347087,0.003097167005762458,
Merge Sort,integer,sorted,1000,0.0024142252048477532,0.0001873774680254918,0.0022253330098465085,0.0026154170045629144,
Merge Sort,integer,random,10000,0.03572065859334543,0.001912706364084986,0.033845749974716455,0.03869654197478667,
Quick Sort,integer,random,1000,0.0015334999887272715,5.724048367941227e-05,0.0014835839974693954,0.0016298749833367765,middle
Quick Sort,integer,sorted,1000,0.0009290912072174251,5.939378539265184e-05,0.0008901659748516977,0.0010325830080546439,middle
Quick Sort,integer,random,10000,0.021359408379066736,0.0004702185186516727,0.02053275000071153,0.021648374968208373,middle
Heap Sort,integer,random,1000,0.003188150189816952,0.0002656949845180591,0.003039416973479092,0.003660874965135008,
Heap Sort,integer,random,10000,0.04177561639808118,0.0012240144180609832,0.04030237504048273,0.04367820802144706,
Counting Sort,integer,random,1000,0.18539512479910628,0.005084062522831982,0.17941887502092868,0.1911850000033155,
Radix Sort,integer,random,1000,0.00202875001123175,0.00012261141294741819,0.0018720420193858445,0.002158957999199629,
Radix Sort,integer,random,10000,0.020066866604611277,0.0014921941767094056,0.018110625038389117,0.022206874971743673,
Tim Sort,integer,random,1000,0.0021815750049427153,0.00016220688727064793,0.0019810000085271895,0.002382792008575052,
Tim Sort,integer,sorted,1000,0.0005013745976611972,4.3964195894262625e-05,0.00046266603749245405,0.0005764159723185003,
Merge Sort,float,random,1000,0.0031224415986798705,0.00016890331381031078,0.0029094169731251895,0.003366707998793572,
Merge Sort,string,random,1000,0.0032304167980328202,0.00025512001523861946,0.0029505420243367553,0.003544541948940605,
